Date,Open,High,Low,Close,Adjusted_close,Volume
2021-07-28,144.81,146.97,142.54,144.98,143.9564,118931200
2021-07-29,144.69,146.55,144.58,145.64,144.6118,56699500
2021-07-30,144.38,146.33,144.11,145.86,144.8302,70440600
2021-08-02,146.36,146.95,145.25,145.52,144.4926,62880000
2021-08-03,145.81,148.04,145.18,147.36,146.3196,64786600
2021-08-04,147.27,147.79,146.28,146.95,145.9125,56368300
2021-08-05,146.98,147.84,146.17,147.06,146.0218,46397700
2021-08-06,146.35,147.11,145.63,146.14,145.3257,54126800
2021-08-09,146.2,146.7,145.52,146.09,145.2759,48908700
2021-08-10,146.44,147.71,145.3,145.6,144.7887,69023100
2021-08-11,146.05,146.72,145.53,145.86,145.0472,48493500
2021-08-12,146.19,149.05,145.84,148.89,148.0603,72282600
2021-08-13,148.97,149.44,148.27,149.1,148.2692,59375000
2021-08-16,148.54,151.19,146.47,151.12,150.2779,103296000
2021-08-17,150.23,151.68,149.09,150.19,149.3531,92229700
2021-08-18,149.8,150.72,146.15,146.36,145.5444,86326000
2021-08-19,145.03,148,144.5,146.7,145.8825,86960300
2021-08-20,147.44,148.5,146.78,148.19,147.3642,60549600
2021-08-23,148.31,150.19,147.89,149.71,148.8758,60131800
2021-08-24,149.45,150.86,149.15,149.62,148.7863,48606400
2021-08-25,149.81,150.32,147.8,148.36,147.5333,58991300
2021-08-26,148.35,149.12,147.51,147.54,146.7179,48597200
2021-08-27,147.48,148.75,146.83,148.6,147.772,55802400
2021-08-30,149,153.49,148.61,153.12,152.2668,90956700
2021-08-31,152.66,152.8,151.29,151.83,150.984,86453100
2021-09-01,152.83,154.98,152.34,152.51,151.6602,80313700
2021-09-02,153.87,154.72,152.4,153.65,152.7938,71115500
2021-09-03,153.76,154.63,153.09,154.3,153.4402,57808700
2021-09-07,154.97,157.26,154.39,156.69,155.8169,82278300
2021-09-08,156.98,157.04,153.98,155.11,154.2457,74420200
2021-09-09,155.49,156.11,153.95,154.07,153.2115,57305700
2021-09-10,155,155.48,148.7,148.97,148.1399,140893200
2021-09-13,150.63,151.42,148.75,149.55,148.7167,102404300
2021-09-14,150.35,151.07,146.91,148.12,147.2946,109296300
2021-09-15,148.56,149.44,146.37,149.03,148.1996,83281300
2021-09-16,148.44,148.97,147.22,148.79,147.9609,68034100
2021-09-17,148.82,148.82,145.76,146.06,145.2461,129868800
2021-09-20,143.8,144.84,141.27,142.94,142.1435,123478900
2021-09-21,143.93,144.6,142.78,143.43,142.6308,75834000
2021-09-22,144.45,146.43,143.7,145.85,145.0373,76404300
2021-09-23,146.65,147.08,145.64,146.83,146.0118,64838200
2021-09-24,145.66,147.47,145.56,146.92,146.1013,53477900
2021-09-27,145.47,145.96,143.82,145.37,144.56,74150700
2021-09-28,143.25,144.75,141.69,141.91,141.1192,108972300
2021-09-29,142.47,144.45,142.03,142.83,142.0341,74602000
2021-09-30,143.66,144.38,141.28,141.5,140.7115,89056700
2021-10-01,141.9,142.92,139.11,142.65,141.8551,94639600
2021-10-04,141.76,142.21,138.27,139.14,138.3647,98322000
2021-10-05,139.49,142.24,139.36,141.11,140.3237,80861100
2021-10-06,139.47,142.15,138.37,142,141.2087,83221100
2021-10-07,143.06,144.22,142.72,143.29,142.4915,61732700
2021-10-08,144.03,144.18,142.56,142.9,142.1037,58773200
2021-10-11,142.27,144.81,141.81,142.81,142.0142,64452200
2021-10-12,143.23,143.25,141.04,141.51,140.7215,73035900
2021-10-13,141.24,141.4,139.2,140.91,140.1248,78762700
2021-10-14,142.11,143.88,141.51,143.76,142.9589,69907100
2021-10-15,143.77,144.9,143.51,144.84,144.0329,67940300
2021-10-18,143.45,146.84,143.16,146.55,145.7334,85589200
2021-10-19,147.01,149.17,146.55,148.76,147.9311,76378900
2021-10-20,148.7,149.75,148.12,149.26,148.4283,58418800
2021-10-21,148.81,149.64,147.87,149.48,148.647,61421000
2021-10-22,149.69,150.18,148.64,148.69,147.8615,58883400
2021-10-25,148.68,149.37,147.62,148.64,147.8117,50720600
2021-10-26,149.33,150.84,149.01,149.32,148.4879,60893400
2021-10-27,149.36,149.73,148.49,148.85,148.0206,56094900
2021-10-28,149.82,153.17,149.72,152.57,151.7198,100077900
2021-10-29,147.22,149.94,146.41,149.8,148.9653,124953200
2021-11-01,148.99,149.7,147.8,148.96,148.1299,74588300
2021-11-02,148.66,151.57,148.65,150.02,149.184,69122000
2021-11-03,150.39,151.97,149.82,151.49,150.6458,54511500
2021-11-04,151.58,152.43,150.64,150.96,150.1188,60394600
2021-11-05,151.89,152.2,150.06,151.28,150.6566,65463900
2021-11-08,151.41,151.57,150.16,150.44,149.82,55020900
2021-11-09,150.2,151.43,150.06,150.81,150.1885,56787900
2021-11-10,150.02,150.13,147.85,147.92,147.3104,65187100
2021-11-11,148.96,149.43,147.68,147.87,147.2606,41000000
2021-11-12,148.43,150.4,147.48,149.99,149.3719,63804000
2021-11-15,150.37,151.88,149.43,150,149.3819,59222800
2021-11-16,149.94,151.49,149.34,151,150.3777,59256200
2021-11-17,151,155,150.99,153.49,152.8575,88807000
2021-11-18,153.71,158.67,153.05,157.87,157.2194,137827700
2021-11-19,157.65,161.02,156.53,160.55,159.8884,117305600
2021-11-22,161.68,165.7,161,161.02,160.3564,117467900
2021-11-23,161.12,161.8,159.06,161.41,160.7448,96041900
2021-11-24,160.75,162.14,159.64,161.94,161.2726,69463600
2021-11-26,159.57,160.45,156.36,156.81,156.1638,76959800
2021-11-29,159.37,161.19,158.79,160.24,159.5797,88748200
2021-11-30,159.99,165.52,159.92,165.3,164.6188,174048100
2021-12-01,167.48,170.3,164.53,164.77,164.091,152052500
2021-12-02,158.74,164.2,157.8,163.76,163.0851,136739200
2021-12-03,164.02,164.96,159.72,161.84,161.1731,118023100
2021-12-06,164.29,167.88,164.28,165.32,164.6387,107497000
2021-12-07,169.08,171.58,168.34,171.18,170.4746,120405400
2021-12-08,172.13,175.96,170.7,175.08,174.3585,116998900
2021-12-09,174.91,176.75,173.92,174.56,173.8406,108923700
2021-12-10,175.21,179.63,174.69,179.45,178.7105,115402700
2021-12-13,181.12,182.13,175.53,175.74,175.0158,153237000
2021-12-14,175.25,177.74,172.21,174.33,173.6116,139380400
2021-12-15,175.11,179.5,172.31,179.3,178.5611,131063300
2021-12-16,179.28,181.14,170.75,172.26,171.5501,150185800
2021-12-17,169.93,173.47,169.69,171.14,170.4347,195432700
2021-12-20,168.28,170.58,167.46,169.75,169.0505,107499100
2021-12-21,171.56,173.2,169.12,172.99,172.2771,91185900
2021-12-22,173.04,175.86,172.15,175.64,174.9162,92135300
2021-12-23,175.85,176.85,175.27,176.28,175.5536,68356600
2021-12-27,177.09,180.42,177.07,180.33,179.5869,74919600
2021-12-28,180.16,181.33,178.53,179.29,178.5511,79144300
2021-12-29,179.33,180.63,178.14,179.38,178.6408,62348900
2021-12-30,179.47,180.57,178.09,178.2,177.4656,59773000
2021-12-31,178.09,179.23,177.26,177.57,176.8382,64062300
2022-01-03,177.83,182.88,177.71,182.01,181.2599,104487900
2022-01-04,182.63,182.94,179.12,179.7,178.9595,99310400
2022-01-05,179.61,180.17,174.64,174.92,174.1992,94537600
2022-01-06,172.7,175.3,171.64,172,171.2912,96904000
2022-01-07,172.89,174.14,171.03,172.17,171.4605,86709100
2022-01-10,169.08,172.5,168.17,172.19,171.4804,106765600
2022-01-11,172.32,175.18,170.82,175.08,174.3585,76138300
2022-01-12,176.12,177.18,174.82,175.53,174.8066,74805200
2022-01-13,175.78,176.62,171.79,172.19,171.4804,84505800
2022-01-14,171.34,173.78,171.09,173.07,172.3568,80440800
2022-01-18,171.51,172.54,169.41,169.8,169.1003,90956700
2022-01-19,170,171.08,165.94,166.23,165.545,94815000
2022-01-20,166.98,169.68,164.18,164.51,163.8321,91420500
2022-01-21,164.42,166.33,162.3,162.41,161.7407,122848900
2022-01-24,160.02,162.3,154.7,161.62,160.954,162294600
